river,station,target,thr,direction,chr_alpha,chr_precision,chr_recall,chr_f1,chr_brier,chr_roc_auc,chr_pr_auc,chr_n,chr_n_events,chr_event_rate,chr_lead_day,leg_precision,leg_recall,leg_f1,leg_brier
han,S01001,do,5.0,low,0.40000000000000013,1.0,0.2,0.33333333333333337,0.0022896561785823084,0.6949484536082474,0.22820908311910884,1945,5,0.002570694087403599,1.0,0.0,0.0,0.0,0.02313624678663239
han,S01001,toc,2.1775353948275247,high,0.3500000000000001,0.6055045871559633,0.7135135135135136,0.6550868486352357,0.0494927417305285,0.9026257117651777,0.6869952249684904,1870,185,0.09893048128342247,2.8863636363636362,0.8333333333333334,0.02702702702702703,0.05235602094240838,0.09679144385026738
han,S01001,tn,2.1857779224713645,high,0.3500000000000001,0.6260869565217392,0.7578947368421053,0.6857142857142857,0.05142493585226124,0.9091738066095472,0.6626457577605889,1910,190,0.09947643979057591,2.8333333333333335,0.8333333333333334,0.02564102564102564,0.04975124378109452,0.1
han,S01001,tp,0.008889166521839797,high,0.40000000000000013,0.4602510460251046,0.6111111111111112,0.5250596658711217,0.07213704461633948,0.8560393162393163,0.5546590554041285,1805,180,0.0997229916897507,2.772727272727273,0.746031746031746,0.25405405405405407,0.3790322580645161,0.0853185595567867
han,S01001,chl-a,20.0,high,0.30000000000000004,0.6854838709677419,0.85,0.7589285714285714,0.05534942160919766,0.9457754901960785,0.8033237772552689,2000,300,0.15,2.8980392156862744,0.853448275862069,0.33,0.47596153846153844,0.109
nak,S02020,do,5.0,low,0.6500000000000001,0.6774193548387096,0.4666666666666667,0.5526315789473684,0.01646855235212277,0.9277898550724637,0.5979102043302883,1885,45,0.023872679045092837,2.2857142857142856,1.0,0.06666666666666667,0.125,0.022281167108753316
nak,S02020,toc,3.4834459153088657,high,0.25000000000000006,0.35661764705882354,0.5105263157894737,0.4199134199134199,0.08037768806681017,0.7940269983315638,0.3862980941505344,1925,190,0.0987012987012987,2.597938144329897,0.6461538461538462,0.22105263157894736,0.3294117647058823,0.08883116883116883
nak,S02020,tn,3.0,high,0.45000000000000007,0.8745247148288974,0.8466257668711656,0.8603491271820448,0.09529355892391261,0.9244200993280748,0.9193566429556743,1865,815,0.43699731903485256,2.9043478260869566,0.9954853273137697,0.5411042944785276,0.7011128775834657,0.20160857908847185
nak,S02020,tp,0.1,high,0.1,0.06329113924050633,1.0,0.11904761904761907,0.0036287007700698593,0.9734054054054053,0.05439297349422711,1855,5,0.0026954177897574125,3.0,0.0,0.0,0.0,0.0026954177897574125
nak,S02020,chl-a,20.0,high,0.45000000000000007,0.8194130925507901,0.8157303370786517,0.8175675675675675,0.13060030309933746,0.8881966292134831,0.8895873669599099,1890,890,0.4708994708994709,2.884297520661157,0.7720504009163803,0.7573033707865169,0.7646057855927398,0.21957671957671956
geum,S03009,do,5.0,low,0.5000000000000001,0.9667359667359667,0.9393939393939394,0.9528688524590164,0.016694864682358562,0.9919929837295107,0.9852989505463534,2165,495,0.22863741339491916,2.989247311827957,0.9171717171717172,0.9171717171717172,0.9171717171717172,0.03787528868360277
geum,S03009,toc,2.6825626393159236,high,0.5500000000000002,0.7411764705882353,0.6,0.6631578947368421,0.046173587453261604,0.9317863441672967,0.7489907023325538,2100,210,0.1,2.8015873015873014,1.0,0.10952380952380952,0.19742489270386265,0.08904761904761904
geum,S03009,tn,1.7892579088608425,high,0.20000000000000004,0.5,0.9238095238095239,0.6488294314381271,0.048507867841143776,0.9599326851159311,0.6839878222413643,2120,210,0.09905660377358491,2.943298969072165,0.8888888888888888,0.0380952380952381,0.07305936073059362,0.09575471698113208
geum,S03009,tp,0.03490857176837467,high,0.30000000000000004,0.706959706959707,0.919047619047619,0.7991718426501035,0.03141421091478546,0.963572662225512,0.8278243954955473,2140,210,0.09813084112149532,2.9274611398963732,1.0,0.009302325581395349,0.018433179723502304,0.09953271028037383
geum,S03009,chl-a,6.544965426127116,high,0.5500000000000002,0.675,0.5142857142857142,0.5837837837837838,0.06110008384665742,0.88895609152752,0.5826289375997804,2135,210,0.09836065573770492,2.564814814814815,0.8032786885245902,0.23333333333333334,0.36162361623616235,0.08103044496487119
yeong,S04008,do,7.784721672534943,low,0.45000000000000007,0.8592233009708737,0.8232558139534883,0.8408551068883611,0.027950672581593488,0.9736557661266216,0.8804139481391164,2160,215,0.09953703703703703,2.8983050847457625,0.8860759493670886,0.6511627906976745,0.7506702412868632,0.043055555555555555
yeong,S04008,toc,2.361268308427599,high,0.45000000000000007,0.821256038647343,0.8095238095238095,0.8153477218225421,0.028567118014324207,0.9672731829573936,0.882920105423711,2110,210,0.0995260663507109,2.864705882352941,1.0,0.2186046511627907,0.35877862595419846,0.07962085308056872
yeong,S04008,tn,1.5858745872974396,high,0.7000000000000002,0.9503105590062112,0.7463414634146341,0.8360655737704917,0.0255240305333358,0.9662099796200118,0.8923922151331689,2060,205,0.09951456310679611,2.915032679738562,0.0,0.0,0.0,0.10194174757281553
yeong,S04008,tp,0.009913043321474739,high,0.5500000000000002,0.6458333333333334,0.45588235294117646,0.5344827586206896,0.06678958472533149,0.9083272257982283,0.5988723393609403,2050,204,0.09951219512195122,2.5161290322580645,0.4482758620689655,0.06220095693779904,0.1092436974789916,0.10341463414634146
yeong,S04008,chl-a,20.0,high,0.3500000000000001,0.7150063051702396,0.84375,0.7740614334470989,0.11125381361244002,0.9141209682760447,0.8054554865462478,2110,672,0.3184834123222749,2.950617283950617,0.7571743929359823,0.5104166666666666,0.6097777777777778,0.2080568720379147
