[VRAM-MON] VRAM alloc=0.46 reserved=1.33 peak=1.33/15.93GB, smi_used=3.22GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.64GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.73GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.62GB
[VRAM-MON] VRAM alloc=0.45 reserved=2.75 peak=2.75/15.93GB, smi_used=4.62GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.62GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.62GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.64GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.67GB
[VRAM-MON] VRAM alloc=0.84 reserved=2.75 peak=2.75/15.93GB, smi_used=4.65GB
[VRAM-MON] VRAM alloc=0.52 reserved=2.75 peak=2.75/15.93GB, smi_used=4.65GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.65GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.65GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.67GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.67GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.64GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.65GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.67GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.71GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.69GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.76GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.72GB
[VRAM-MON] VRAM alloc=0.68 reserved=2.75 peak=2.75/15.93GB, smi_used=4.68GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.68GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.67GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.66GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.72GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.67GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.51GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.50GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.55GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.54GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.51GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.51GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.51GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.54GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.50GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.50GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.50GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.52GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.51GB
[VRAM-MON] VRAM alloc=0.46 reserved=2.75 peak=2.75/15.93GB, smi_used=4.50GB
