[19:23:54] [do] 어댑터 로드 models\chronos_lora512_do\finetuned-ckpt | VRAM alloc=0.45 reserved=0.48 peak=0.48/15.93GB, smi_used=2.16GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.77GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.77GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.77GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.77GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.63 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[19:35:04] [do] pooledδ(d5)={80: 0.036, 90: 0.085} α*=0.25 thr=5(low)

do replay:   0%|          | 0/67 [00:00<?, ?it/s]
do replay:   3%|▎         | 2/67 [00:00<00:28,  2.28it/s]
do replay:   6%|▌         | 4/67 [00:01<00:25,  2.43it/s]
do replay:   9%|▉         | 6/67 [00:02<00:26,  2.30it/s][VRAM-MON] VRAM alloc=0.45 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB

do replay:  12%|█▏        | 8/67 [00:03<00:24,  2.40it/s]
do replay:  15%|█▍        | 10/67 [00:04<00:23,  2.40it/s]
do replay:  18%|█▊        | 12/67 [00:05<00:24,  2.24it/s]
do replay:  21%|██        | 14/67 [00:06<00:24,  2.13it/s]
do replay:  24%|██▍       | 16/67 [00:07<00:24,  2.04it/s]
do replay:  27%|██▋       | 18/67 [00:08<00:23,  2.11it/s]
do replay:  30%|██▉       | 20/67 [00:08<00:21,  2.21it/s]
do replay:  33%|███▎      | 22/67 [00:09<00:20,  2.18it/s]
do replay:  36%|███▌      | 24/67 [00:10<00:18,  2.28it/s]
do replay:  39%|███▉      | 26/67 [00:11<00:17,  2.31it/s]
do replay:  42%|████▏     | 28/67 [00:12<00:17,  2.29it/s]
do replay:  45%|████▍     | 30/67 [00:13<00:16,  2.29it/s]
do replay:  48%|████▊     | 32/67 [00:14<00:15,  2.26it/s]
do replay:  51%|█████     | 34/67 [00:15<00:14,  2.30it/s]
do replay:  54%|█████▎    | 36/67 [00:15<00:13,  2.30it/s]
do replay:  57%|█████▋    | 38/67 [00:16<00:12,  2.35it/s]
do replay:  60%|█████▉    | 40/67 [00:17<00:11,  2.40it/s][VRAM-MON] VRAM alloc=0.45 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB

do replay:  63%|██████▎   | 42/67 [00:18<00:10,  2.43it/s]
do replay:  66%|██████▌   | 44/67 [00:19<00:09,  2.44it/s]
do replay:  69%|██████▊   | 46/67 [00:19<00:08,  2.46it/s]
do replay:  72%|███████▏  | 48/67 [00:20<00:07,  2.50it/s]
do replay:  75%|███████▍  | 50/67 [00:21<00:07,  2.40it/s]
do replay:  78%|███████▊  | 52/67 [00:22<00:06,  2.44it/s]
do replay:  81%|████████  | 54/67 [00:23<00:05,  2.46it/s]
do replay:  84%|████████▎ | 56/67 [00:23<00:04,  2.50it/s]
do replay:  87%|████████▋ | 58/67 [00:24<00:03,  2.40it/s]
do replay:  90%|████████▉ | 60/67 [00:25<00:02,  2.44it/s]
do replay:  93%|█████████▎| 62/67 [00:26<00:02,  2.43it/s]
do replay:  96%|█████████▌| 64/67 [00:27<00:01,  2.46it/s]
do replay:  99%|█████████▊| 66/67 [00:28<00:00,  2.39it/s]
do replay: 100%|██████████| 67/67 [00:28<00:00,  2.35it/s]
[19:35:35] [toc] 어댑터 로드 models\chronos_lora512_toc\finetuned-ckpt | VRAM alloc=0.45 reserved=0.49 peak=1.11/15.93GB, smi_used=2.23GB
