river,station,target,context,nse,rmse,crps,cov80,n
han,S01001,do,240,0.8303179800242343,0.7873722199535705,0.3543600891646281,0.6521739130434783,391
han,S01001,do,360,0.827964571892007,0.792813654692087,0.34327109952025964,0.690537084398977,391
han,S01001,do,512,0.8468811991500511,0.7442653052724164,0.3179171231869661,0.7758186397984886,397
han,S01001,do,720,0.8229565919721279,0.8042703449169926,0.3373056394469485,0.7570332480818415,391
han,S01001,do,1024,0.8403941343958536,0.7612082665773154,0.3265615241373484,0.803030303030303,396
han,S01001,toc,240,0.7145846130887497,0.18048353155835023,0.08413998554916623,0.7898936170212766,376
han,S01001,toc,360,0.6891617300452015,0.18835021949091282,0.08715987967344732,0.7845744680851063,376
han,S01001,toc,512,0.7263730423101055,0.1758369395128224,0.08202380629624383,0.8324607329842932,382
han,S01001,toc,720,0.6787020887672379,0.19149297228974932,0.08572595447820615,0.8218085106382979,376
han,S01001,toc,1024,0.6944227664148219,0.18508834153332054,0.08207002557330732,0.8601583113456465,379
han,S01001,tn,240,0.7119970877827364,0.16051095647043054,0.0657710083547721,0.7578125,384
han,S01001,tn,360,0.7006044950836621,0.16365485017473488,0.06731046087148418,0.7578125,384
han,S01001,tn,512,0.6826081368540716,0.17034638979909203,0.068598193770288,0.7938144329896907,388
han,S01001,tn,720,0.6864451652917449,0.16748001604311968,0.06869255755243893,0.7994791666666666,384
han,S01001,tn,1024,0.6539909306486898,0.17489652400432115,0.0690846811473983,0.812987012987013,385
han,S01001,tp,240,0.03415272679910575,0.002782493046588376,0.0011083933546100749,0.8209366391184573,363
han,S01001,tp,360,0.1787310981619915,0.00256579850508448,0.0010526277072396976,0.8457300275482094,363
han,S01001,tp,512,0.29053944122933084,0.0024891117151476707,0.0010223940007405563,0.860655737704918,366
han,S01001,tp,720,0.22288462668597542,0.002495873724147777,0.0010064731423229862,0.8539944903581267,363
han,S01001,tp,1024,0.2884293512912741,0.0024530626348871457,0.0010095061079350984,0.8708791208791209,364
han,S01001,chl-a,240,0.3417532026986657,8.528654246966797,2.9724438517061116,0.7388059701492538,402
han,S01001,chl-a,360,0.31580380810887065,8.695137565699603,2.974740902036074,0.763681592039801,402
han,S01001,chl-a,512,0.3582380636677289,8.350419978280366,2.7535625864335027,0.8004926108374384,406
han,S01001,chl-a,720,0.33588501040253094,8.566585867202788,2.8499652947628165,0.8009950248756219,402
han,S01001,chl-a,1024,0.39953363829709654,8.050355648046741,2.6953168810181034,0.8143564356435643,404
nak,S02020,do,240,0.781579404763042,1.4204261063470385,0.6448101033125787,0.7506631299734748,377
nak,S02020,do,360,0.7881028500446162,1.399159600889858,0.6296216173616221,0.771505376344086,372
nak,S02020,do,512,0.7892525060038394,1.3843777965450277,0.6239817796788768,0.7859078590785907,369
nak,S02020,do,720,0.7795542816469977,1.4084497057566845,0.6357269919034069,0.7927170868347339,357
nak,S02020,do,1024,0.7774734935286867,1.4126262264702725,0.6307332238318598,0.815028901734104,346
nak,S02020,toc,240,0.2238823274824917,0.5905494190008177,0.2295130567539973,0.7338501291989664,387
nak,S02020,toc,360,0.23351353486183724,0.5890533944698777,0.23182811510707685,0.7734375,384
nak,S02020,toc,512,0.3095563825619412,0.5665112189281462,0.2238968112943763,0.7686170212765957,376
nak,S02020,toc,720,0.3209807754099966,0.5633534294576107,0.2213862998007731,0.7723577235772358,369
nak,S02020,toc,1024,0.34732172707069675,0.562603178569615,0.21543097048137724,0.788135593220339,354
nak,S02020,tn,240,0.3093637480017216,0.5680978316302434,0.22346288048961835,0.7533512064343163,373
nak,S02020,tn,360,0.29513970165347947,0.577571714919232,0.22858295205944112,0.7391304347826086,368
nak,S02020,tn,512,0.3310651839640728,0.5555326596843313,0.22398919448939245,0.7534626038781164,361
nak,S02020,tn,720,0.29632415221147745,0.5852352887293654,0.23223992575175953,0.7620396600566572,353
nak,S02020,tn,1024,0.30698981856265195,0.5845392634200608,0.22846682695198955,0.7699115044247787,339
nak,S02020,tp,240,0.43589164902459954,0.014302475832487473,0.005399944969056415,0.8194070080862533,371
nak,S02020,tp,360,0.427227582411672,0.014438820201066896,0.005372843092640938,0.8224043715846995,366
nak,S02020,tp,512,0.430789601544734,0.014566155271413512,0.005490413374904531,0.8292011019283747,363
nak,S02020,tp,720,0.46988309730492694,0.013930193307596466,0.005351553863508845,0.8262108262108262,351
nak,S02020,tp,1024,0.5013442669467401,0.013522436531796715,0.005258000989961384,0.8427299703264095,337
nak,S02020,chl-a,240,0.12317136272064344,12.327051907137093,4.976170360303096,0.7116402116402116,378
nak,S02020,chl-a,360,0.15293403423472873,12.195385207653402,4.878046351038027,0.7453083109919572,373
nak,S02020,chl-a,512,0.13067325152011866,12.347203932198868,4.859511563825621,0.7574931880108992,367
nak,S02020,chl-a,720,0.10373889146311555,12.801220481169773,5.012360706578605,0.7513966480446927,358
nak,S02020,chl-a,1024,0.11821356738359268,12.750925557705887,4.970294575479406,0.7679083094555874,349
geum,S03009,do,240,0.9569012390343555,0.6333441159920509,0.2936794270535757,0.6073903002309469,433
geum,S03009,do,360,0.9568464299098476,0.6339389689635692,0.28721069506170593,0.6004672897196262,428
geum,S03009,do,512,0.954654061019297,0.6491898789004158,0.291004598938359,0.64,425
geum,S03009,do,720,0.9572498392619386,0.6262276807125553,0.2866459505077302,0.648910411622276,413
geum,S03009,do,1024,0.9554928063419063,0.6377030076943752,0.2836637960018165,0.6923076923076923,403
geum,S03009,toc,240,0.703383476765964,0.12487325582498715,0.05110131537804187,0.7119047619047619,420
geum,S03009,toc,360,0.7170211796205437,0.12255444119402219,0.050872918156660486,0.7253012048192771,415
geum,S03009,toc,512,0.7377823242335633,0.11746030680971546,0.0490621846278103,0.7578692493946732,413
geum,S03009,toc,720,0.7631016964877549,0.11241196531394833,0.047722881675565584,0.755,400
geum,S03009,toc,1024,0.7781568482454603,0.1097816385085068,0.045862193787096106,0.7902813299232737,391
geum,S03009,tn,240,0.7252264448814723,0.13632672464142687,0.06281255572005306,0.8254716981132075,424
geum,S03009,tn,360,0.7237188750072489,0.13515807168560612,0.06146559895546789,0.847255369928401,419
geum,S03009,tn,512,0.7392690271953104,0.13120583205743283,0.05865083495939216,0.8819277108433735,415
geum,S03009,tn,720,0.72792202359456,0.13211721492797554,0.05994121791351111,0.8641975308641975,405
geum,S03009,tn,1024,0.7245959165049647,0.13332255343611324,0.06039793627351376,0.864321608040201,398
geum,S03009,tp,240,0.7823094022987163,0.006141776203996832,0.0023268432507091087,0.7920560747663551,428
geum,S03009,tp,360,0.785447215311508,0.006128473901108591,0.0023387122329377986,0.817966903073286,423
geum,S03009,tp,512,0.7964784343533167,0.005976151013934828,0.0022271112009234514,0.8408551068883611,421
geum,S03009,tp,720,0.7892165272928068,0.006166070707034133,0.0023374176114260756,0.8308823529411765,408
geum,S03009,tp,1024,0.8039454433693385,0.005979404688554531,0.0022927563520639157,0.8503740648379052,401
geum,S03009,chl-a,240,0.23450840110537374,1.3528692789787902,0.5476582498782265,0.6941176470588235,425
geum,S03009,chl-a,360,0.2231709692063557,1.3703119879411185,0.5519582792952585,0.7357142857142858,420
geum,S03009,chl-a,512,0.23834389823178515,1.2636826121584261,0.5128100887216929,0.75,416
geum,S03009,chl-a,720,0.1952835273196808,1.4072648638975436,0.5454806606611194,0.7753086419753087,405
geum,S03009,chl-a,1024,0.2693242069086187,1.2696399950816224,0.5283478781483882,0.7791878172588832,394
yeong,S04008,do,240,0.6997363508940965,1.047391919544482,0.43338062738262606,0.6851851851851852,432
yeong,S04008,do,360,0.6872387288678473,1.0436263493670523,0.43132178343970323,0.7096018735362998,427
yeong,S04008,do,512,0.6916334510263282,1.0194315487722507,0.4160646238865476,0.7292161520190024,421
yeong,S04008,do,720,0.6730476873128074,1.0329803898688765,0.4243797168156327,0.7451456310679612,412
yeong,S04008,do,1024,0.6574255927497106,1.038572383521129,0.4224568584498275,0.775,400
yeong,S04008,toc,240,0.4879221646759738,0.2602458383416902,0.0951459659471066,0.7654028436018957,422
yeong,S04008,toc,360,0.4919510756973168,0.26075753807195085,0.09480471426309844,0.7721822541966427,417
yeong,S04008,toc,512,0.4916653726600726,0.2627315821206064,0.09242448811751382,0.8115942028985508,414
yeong,S04008,toc,720,0.461010138553797,0.27322110373692415,0.09697422459085643,0.7960199004975125,402
yeong,S04008,toc,1024,0.48667459226930065,0.27041562793367574,0.09418467188016866,0.8214285714285714,392
yeong,S04008,tn,240,0.8124935848170143,0.15657063534204854,0.06936796582341319,0.8859223300970874,412
yeong,S04008,tn,360,0.8321352968126817,0.14899900284893156,0.06758561035001903,0.8722358722358723,407
yeong,S04008,tn,512,0.8280315533227571,0.15067080368926106,0.0694376058917226,0.8700980392156863,408
yeong,S04008,tn,720,0.8218267340029984,0.15490689868053087,0.0694463712242216,0.8804071246819338,393
yeong,S04008,tn,1024,0.8346082096338258,0.14927763389417362,0.06786813063272765,0.8963730569948186,386
yeong,S04008,tp,240,0.526756742370094,0.0021443361010333676,0.0009444898639103519,0.824390243902439,410
yeong,S04008,tp,360,0.534957203121989,0.0021261717315969875,0.0009395622560080392,0.8246913580246914,405
yeong,S04008,tp,512,0.5466687614480765,0.0021023310187210614,0.0009458980461671845,0.8193069306930693,404
yeong,S04008,tp,720,0.5094334144689611,0.0021892395200834996,0.0009817965214275078,0.8256410256410256,390
yeong,S04008,tp,1024,0.574947459441489,0.002033248940582866,0.0009184386976686803,0.8746736292428199,383
yeong,S04008,chl-a,240,0.3565995573940023,16.840614809647057,4.759148340188356,0.7240566037735849,424
yeong,S04008,chl-a,360,0.3612654950587596,16.877789517033445,4.590727214102117,0.7494033412887828,419
yeong,S04008,chl-a,512,0.2574705457416617,18.299266457672555,4.6318194428896815,0.7559808612440191,418
yeong,S04008,chl-a,720,0.31352506389084633,17.7740236507598,4.798728096592909,0.7679012345679013,405
yeong,S04008,chl-a,1024,0.2713188181297479,18.560101099579114,4.800121679839971,0.7884130982367759,397
