mode,river,station,target,nse,rmse,crps,cov80,calib,n
zs_nocov,han,S01001,do,0.8431339939037632,0.6814718533023786,0.27476205561241646,0.722397476340694,0.03195132942767013,317
zs_cov,han,S01001,do,0.8372391298512356,0.6941582743705911,0.2769768391333218,0.7381703470031545,0.02969806219017574,317
zs_nocov,nak,S02020,do,0.8484302918809599,1.0943434887551664,0.518675694853176,0.72782874617737,0.03682830930537352,327
zs_cov,nak,S02020,do,0.8508668318784359,1.0855118606774354,0.5163045710090539,0.7247706422018348,0.038575797291393606,327
zs_nocov,geum,S03009,do,0.8153614708296028,0.38785450777659275,0.18252430702733477,0.6390532544378699,0.06153846153846154,169
zs_cov,geum,S03009,do,0.7995127518192127,0.40415788374991507,0.18528430651454883,0.6863905325443787,0.05604395604395603,169
zs_nocov,yeong,S04008,do,0.7859689372683344,0.6962731243795035,0.32643064403339955,0.6445783132530121,0.0827882960413081,166
zs_cov,yeong,S04008,do,0.7807888936950429,0.7046484566108747,0.3247127543085694,0.6867469879518072,0.06815834767641997,166
lora_nocov,han,S01001,do,0.8463748061729032,0.6743955955039868,0.2705001908144976,0.750788643533123,0.021586300135196024,317
lora_nocov,nak,S02020,do,0.8488743949270677,1.09273908572384,0.515563606732528,0.7431192660550459,0.03910004368719965,327
lora_nocov,geum,S03009,do,0.8111933097502128,0.3922079269391491,0.1818963030524993,0.6627218934911243,0.05900253592561284,169
lora_nocov,yeong,S04008,do,0.7908351397018052,0.6883123953325713,0.32064065700819777,0.6566265060240963,0.0802065404475043,166
