mode,river,station,target,nse,rmse,mae,crps,cov80,cov90,calib,n
zs512,han,S01001,do,0.8468811991500511,0.7442653052724164,0.5599794827594871,0.3179171231869661,0.7758186397984886,0.8967254408060453,0.03472472112270599,397
zs512,han,S01001,toc,0.7263730423101055,0.1758369395128224,0.12131547655359573,0.08202380629624383,0.8324607329842932,0.8821989528795812,0.02064323111443531,382
zs512,han,S01001,tn,0.6826081368540716,0.17034638979909203,0.11188330999739267,0.068598193770288,0.7938144329896907,0.884020618556701,0.017746686303387334,388
zs512,han,S01001,tp,0.29053944122933084,0.0024891117151476707,0.0015745559428670122,0.0010223940007405563,0.860655737704918,0.8989071038251366,0.03871975019516002,366
zs512,han,S01001,chl-a,0.3582380636677289,8.350419978280366,4.381133540545975,2.7535625864335027,0.8004926108374384,0.8940886699507389,0.054539057002111195,406
zs512,han,S01002,do,0.5463643549975419,1.2897769361570643,0.9138388335519638,0.5533310687500901,0.76657824933687,0.8779840848806366,0.02516104585070102,377
zs512,han,S01002,toc,0.7011265618803709,0.39403291570525684,0.22852734958076654,0.15339389221873967,0.7335243553008596,0.833810888252149,0.06037658616455176,349
zs512,han,S01002,tn,0.39051958811334453,0.43561543258768143,0.34107803150867244,0.20609504959473476,0.7857142857142857,0.8975155279503105,0.017746228926353146,322
zs512,han,S01002,tp,-0.052105845564899944,0.03137294524542581,0.016511870260747293,0.011574020449154373,0.7256637168141593,0.8023598820058997,0.03952802359882005,339
zs512,han,S01002,chl-a,0.6821812259600996,12.073708605062597,5.744721408203796,3.749238508197577,0.7433862433862434,0.8597883597883598,0.03287981859410431,378
zs512,han,S01003,do,0.40798218613536874,1.363018383198593,1.0088536301224302,0.6036837979457301,0.8525345622119815,0.9400921658986175,0.02080315997366691,434
zs512,han,S01003,toc,0.5986819892572379,0.35853209958754345,0.2455713819382864,0.15963611249381235,0.8018433179723502,0.8963133640552995,0.023370638578011842,434
zs512,han,S01003,chl-a,0.6733080368215254,33.64968826903419,17.43959615723496,11.272175375866135,0.6553398058252428,0.7912621359223301,0.05908460471567266,412
zs512,han,S01004,do,0.769733566411076,1.071712815750839,0.789910572262902,0.4615742793185853,0.7570754716981132,0.8844339622641509,0.02216981132075469,424
zs512,han,S01004,toc,0.2897349472149314,0.3456557997701509,0.21770535397377472,0.13933750314437507,0.8226950354609929,0.9125295508274232,0.02110773387369131,423
zs512,han,S01005,do,0.7738968088544851,0.993805197143035,0.7330060349191728,0.44100927864864264,0.7955665024630542,0.9064039408866995,0.050316678395496126,406
zs512,han,S01005,toc,0.31937918456630654,0.4510430505946113,0.23502705274425623,0.16830655408119388,0.7917808219178082,0.8821917808219178,0.023287671232876707,365
zs512,han,S01005,tn,0.5333140954847346,0.3338146625828171,0.23565456340383537,0.14362107690875855,0.7681564245810056,0.888268156424581,0.013407821229050269,358
zs512,han,S01005,tp,0.02554847574700725,0.04220062738142032,0.011651786327038071,0.009761656815467893,0.8189189189189189,0.8918918918918919,0.03359073359073357,370
zs512,han,S01005,chl-a,0.27380535018973995,4.819147138830027,2.927301986752755,1.7863940718103097,0.7585365853658537,0.9024390243902439,0.025783972125435522,410
zs512,han,S01006,do,0.11372744899921194,1.06535105233817,0.8187512298370764,0.4952480454565283,0.8668341708542714,0.9547738693467337,0.02778176597272075,398
zs512,han,S01006,toc,0.4623630941800597,0.4864681732992682,0.2588465423990616,0.18052936922495727,0.7837150127226463,0.8829516539440203,0.01762995274445656,393
zs512,han,S01007,do,0.7347711394776699,0.9478611391943972,0.7228928911263515,0.43780934188972653,0.7275449101796407,0.8682634730538922,0.04559452523524378,334
zs512,han,S01007,toc,0.6352234409833402,0.37944845422206586,0.2540562762679206,0.16015650377606408,0.7808219178082192,0.8938356164383562,0.01908023483365948,292
zs512,han,S01007,tn,0.6839877552500777,0.34278062720752,0.2673588830716005,0.16343330371667422,0.7838709677419354,0.9096774193548387,0.052534562211981564,310
zs512,han,S01007,tp,0.07633415964318413,0.007707499016347052,0.004736781761020936,0.003045755787923755,0.7678018575851393,0.8575851393188855,0.03812472357363996,323
zs512,han,S01009,do,0.8296961082078734,1.0170261780864878,0.7631921470377806,0.4792588598111241,0.8128205128205128,0.9282051282051282,0.021611721611721618,390
zs512,han,S01009,toc,0.6061339499881149,0.48350403839245426,0.33968638205633117,0.21662987295760305,0.8490566037735849,0.921832884097035,0.028224874855602607,371
zs512,han,S01010,do,0.794353854183724,0.949931598756516,0.7035951356006717,0.42650452614200063,0.8690476190476191,0.95,0.037074829931972794,420
zs512,han,S01010,toc,0.028632428625451123,0.20620866921271552,0.1417840649182018,0.0881676209076679,0.8223844282238443,0.9124087591240876,0.010948905109489053,411
zs512,han,S01010,tn,0.21264436822622912,0.15715449402506756,0.09557984492054741,0.05963341902930565,0.8380952380952381,0.9333333333333333,0.023809523809523808,420
