river,station,target,dNSE,dNSE_lo95,dNSE_hi95,dNSE_excl0
han,S01001,do,0.7015390608720278,0.30275705912385986,1.026502656569869,True
nak,S02020,do,0.03828482867814742,-0.06900813793837855,0.18006510168347606,False
geum,S03009,do,0.03568619593857081,0.01271083068419743,0.06361452660146186,True
yeong,S04008,do,0.12020468255226291,-0.02122954318039025,0.24172072320686513,False
han,S01001,toc,0.7020771356871577,0.42842357666895486,0.9973124650876727,True
nak,S02020,toc,-0.09375118285093642,-0.37617991901538067,0.14223733167598754,False
geum,S03009,toc,1.7100255472394081,1.2577359222608895,1.795458735753101,True
yeong,S04008,toc,0.20338824334053518,-0.19932067113944504,0.37577742881389953,False
han,S01001,tn,1.3435678883537168,0.7141321419311576,1.7389594161204376,True
nak,S02020,tn,0.1782995501803908,0.014284660002323942,0.4010060826579058,True
geum,S03009,tn,0.08069698858717989,0.007422163753461553,0.14238591365687303,True
yeong,S04008,tn,0.6007388827428365,0.4379871112614592,0.7631397020710784,True
han,S01001,tp,0.005296277202231359,-0.5852525243120226,0.4108179025036001,False
nak,S02020,tp,-0.12972081019967874,-0.2839984097498603,-0.005234450154878386,True
geum,S03009,tp,0.24279861049436513,0.027832966026382952,0.37240275795724337,True
yeong,S04008,tp,1.5381226443751714,1.285797540900164,1.6941625558973883,True
han,S01001,chl-a,0.12202402734205209,-0.17038627116717803,0.3322489572747131,False
nak,S02020,chl-a,-0.13053175008193052,-0.5031112442651564,0.16312594490856916,False
geum,S03009,chl-a,-0.058649728159769765,-0.2164420794074776,0.06196928226537596,False
yeong,S04008,chl-a,-0.0756214562801143,-0.9372711863857389,0.31633805969117884,False
