river,station,target,n,nse,rsr,pbias,pers_nse,crps,crps_skill,cov80_raw,cov80_cal,cov90_raw,cov90_cal
geum,S03002,chl-a,407,0.45132622749642526,0.7407251666465604,10.05740128998131,0.40349396911947777,4.144759480357373,0.43036654907781713,0.7641277641277642,0.8452088452088452,0.8648648648648649,0.9238329238329238
geum,S03002,do,409,0.27229280201948425,0.8530575584217724,-0.9350067612403343,0.06538313733200396,0.7495619917518898,0.30862141514054353,0.8361858190709046,0.8166259168704156,0.8997555012224939,0.9070904645476773
geum,S03002,toc,374,0.27517422532788816,0.8513670035138264,2.7599568741629863,-0.14422664849902644,0.3863969360247407,0.26675729349488175,0.786096256684492,0.8101604278074866,0.8983957219251337,0.8983957219251337
geum,S03003,chl-a,433,0.44380957925434705,0.7457817514163597,7.428630840823415,0.33653293039154175,2.4003520208364355,0.4639500646715504,0.7598152424942263,0.8244803695150116,0.8475750577367206,0.9053117782909931
geum,S03003,do,436,0.7346830082630716,0.5150893046229249,-0.5782829069872587,0.7053711993324913,0.35556946872976797,0.6537601894300864,0.731651376146789,0.7912844036697247,0.8646788990825688,0.8830275229357798
geum,S03003,tn,419,0.7095557232603839,0.5389288234448183,1.4028876606253196,0.6775853925993808,0.12218337415589717,0.5839481423910164,0.801909307875895,0.8138424821002387,0.8926014319809069,0.9140811455847255
geum,S03003,toc,210,0.27313174639028603,0.8525656887358968,-0.33158458161656573,0.2832099288659323,0.11251708692388093,0.30717211407556655,0.6714285714285714,0.819047619047619,0.8333333333333334,0.8857142857142857
geum,S03003,tp,425,0.3489563543402191,0.8068727567961264,0.7410186796478367,0.2959573004605034,0.0018872986044500867,0.4773051311175617,0.8682352941176471,0.8094117647058824,0.9364705882352942,0.908235294117647
geum,S03004,chl-a,319,0.3320122044404118,0.8173052034335694,5.095094905027765,0.1465403719766325,7.831756399339639,0.37742560629771604,0.64576802507837,0.8087774294670846,0.7554858934169278,0.9028213166144201
geum,S03004,do,317,0.34484103896307705,0.80941890331084,-0.22978001082332705,0.0972197685649071,1.0059274488365515,0.3535961858824891,0.7255520504731862,0.8138801261829653,0.8422712933753943,0.9053627760252366
